input,summary
"Judging from previous posts this used to be a good place , but not any longer .",<triplet> place <opinion> good <sentiment> negative
"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",<triplet> staff <opinion> rude <sentiment> negative
The food was lousy - too sweet or too salty and the portions tiny .,<triplet> food <opinion> lousy <sentiment> negative <opinion> too sweet <sentiment> negative <opinion> too salty <sentiment> negative <triplet> portions <opinion> tiny <sentiment> negative
Avoid this place !,<triplet> place <opinion> Avoid <sentiment> negative
"I have eaten at Saul , many times , the food is always consistently , outrageously good .",<triplet> food <opinion> good <sentiment> positive
Saul is the best restaurant on Smith Street and in Brooklyn .,<triplet> Saul <opinion> best <sentiment> positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world .,<triplet> foie gras terrine with figs <opinion> out of this world <sentiment> positive <triplet> duck confit <opinion> amazing <sentiment> positive
The wine list is interesting and has many good values .,<triplet> wine list <opinion> interesting <sentiment> positive <opinion> good values <sentiment> positive
I was very disappointed with this restaurant .,<triplet> restaurant <opinion> disappointed <sentiment> negative
"Food was okay , nothing great .",<triplet> Food <opinion> okay <sentiment> neutral <opinion> nothing great <sentiment> neutral
Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,<triplet> Chow fun <opinion> dry <sentiment> negative <triplet> pork shu mai <opinion> greasy <sentiment> negative
I/we will never go back to this place again .,<triplet> place <opinion> never go back <sentiment> negative
"Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",<triplet> Service <opinion> devine <sentiment> positive <triplet> oysters <opinion> sensual <sentiment> positive
"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",<triplet> service <opinion> excellent <sentiment> positive <triplet> decor <opinion> cool <sentiment> positive <opinion> understated <sentiment> positive
I had the duck breast special on my last visit and it was incredible .,<triplet> duck breast special <opinion> incredible <sentiment> positive
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .,<triplet> Grilled Chicken special with Edamame Puree <opinion> enjoyed <sentiment> positive
I had never had Edamame pureed before but I thought it was innovative and tasty ( could 've used a bit more salt ) .,<triplet> Edamame pureed <opinion> innovative <sentiment> positive <opinion> tasty <sentiment> positive
"Their sake list was extensive , but we were looking for Purple Haze , which was n't listed but made for us upon request !",<triplet> sake list <opinion> extensive <sentiment> positive
We went around 9:30 on a Friday and it had died down a bit by then so the service was great !,<triplet> service <opinion> great <sentiment> positive
Food awesome .,<triplet> Food <opinion> awesome <sentiment> positive
Service friendly and attentive .,<triplet> Service <opinion> friendly <sentiment> positive <opinion> attentive <sentiment> positive
the food is decent .,<triplet> food <opinion> decent <sentiment> neutral
This place has got to be the best japanese restaurant in the new york area .,<triplet> place <opinion> best <sentiment> positive
Food is great .,<triplet> Food <opinion> great <sentiment> positive
Service is top notch .,<triplet> Service <opinion> top notch <sentiment> positive
We took advanatage of the half price sushi deal on saturday so it was well worth it .,<triplet> half price sushi deal <opinion> worth <sentiment> positive
"In the evening , this place attracted a well dressed , with it , NY crowd .",<triplet> crowd <opinion> attracted <sentiment> positive
